id,value,category
0,-0.9202697397638692,C
1,1.0475131222079188,D
2,0.49768959498539134,B
3,1.2040749314916095,C
4,-1.3882383538280976,A
5,-2.1261262159035064,A
6,1.4510570068311304,A
7,-0.30549013835659383,C
8,-0.3759389037836335,D
9,1.797944702338294,D
10,0.46957587343648544,A
11,0.14675730601828404,A
12,0.8696336780777884,C
13,1.593386651664591,A
14,-0.5414756566504139,D
15,-0.8794457837146122,D
16,0.9998051628949652,B
17,-1.8285024117427942,A
18,0.713259680704256,C
19,1.1248454345081946,B
20,0.5898230474063274,B
21,-0.8404788696161987,D
22,-0.6128861534856191,A
23,0.9286249003370898,D
24,-0.48308969050848993,B
25,0.4880839453648278,C
26,0.1884785606834568,A
27,0.335072610891279,B
28,0.5570883119601043,B
29,-1.6300536186106742,D
30,-0.06457711625241168,A
31,0.2481495576775554,B
32,0.13434580295779686,B
33,0.6611835703100377,B
34,0.016384802489108282,A
35,-1.2765218192530643,C
36,0.07714453460005329,C
37,-0.2251267419387612,C
38,1.9020213514813606,D
39,0.8966578491186924,A
40,-0.48564741877415263,B
41,-0.07594363424910444,B
42,0.9930989658772958,C
43,1.126195983503426,B
44,-0.7551375036678634,C
45,0.9250410005376666,B
46,0.10358547918919571,B
47,-1.4942298900788509,C
48,-0.26427321963298844,B
49,0.8208125916225445,C
50,0.6466557839371161,B
51,0.08675327833280633,B
52,0.5518322903469034,B
53,-1.5218895774628864,B
54,1.1725219046810968,B
55,-0.8376981329455068,D
56,1.6755859764467178,A
57,0.6938150013576918,C
58,1.392473975455583,C
59,0.326002972828883,C
60,-1.7414047387951117,D
61,1.136394086179524,B
62,0.605627873839245,B
63,0.31138191981459473,D
64,-0.4160288340305106,C
65,1.4148921525955689,A
66,0.36833250384026506,C
67,0.21016485872442564,A
68,-0.08543768533879474,B
69,0.4180098896557275,A
70,0.7275826299452006,A
71,0.3825458276922017,B
72,0.14412863764043152,B
73,-0.6333769064228446,A
74,0.4803243968006883,A
75,0.4504468646361051,D
76,-1.1011088731365641,D
77,1.322482071008099,B
78,0.38051307935386885,D
79,1.2905579198100217,D
80,-0.3603115426522482,B
81,0.03257940137593921,D
82,-0.6353434736386524,A
83,1.0879804729788813,C
84,0.6786624918833916,A
85,-0.8772755543844799,C
86,1.238556424624268,B
87,-0.3046654351670037,C
88,1.4963341403726125,D
89,-1.0705223702052273,D
90,-1.041850195767924,A
91,-0.9112807595936341,B
92,0.47773538553846473,D
93,-1.1412956771600007,C
94,-0.23155962061374957,C
95,1.7666525010921426,A
96,-2.0872575793322996,A
97,-0.9279704514245734,D
98,0.2722411078484423,B
99,-0.5583150833091833,D
100,-0.7670643655944173,A
101,-0.9428252380361224,A
102,0.5758866408770064,B
103,-0.7515712619684642,D
104,1.6561891195164882,A
105,-0.7601272653774845,D
106,0.6050195047680866,C
107,0.8376243432559108,A
108,0.730552913872326,D
109,-0.264343991388805,D
110,-1.105415950421711,C
111,0.3253099919761164,A
112,0.18514062838392698,A
113,1.1529935737949146,C
114,-0.4580669312992563,C
115,1.157199434908658,B
116,-0.03139828269590797,D
117,-1.2805995908691998,C
118,0.10758157506863034,A
119,-0.326864946983451,B
